,isin,company_name,industry_rating,market_cap
871,INE115Q01022,Inventurus Knowledge Solutions Limited,IT - Services,Small Cap
872,BMG491BT1088,Invesco Ltd,Asset Management & Custody Banks,Unknown
873,US46187W1071,Invitation Homes Inc,Single-Family Residential REITs,Unknown
874,US46266C1053,Iqvia Holdings,Life Sciences Tools & Services,Unknown
875,US46284V1017,Iron Mountain Inc,Other Specialized REITs,Unknown
876,US4456581077,J B Hunt Transport Services Inc,Cargo Ground Transportation,Unknown
877,INE576I01022,J.Kumar Infraprojects Ltd.,Construction,Small Cap
878,INE572A01036,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals & Biotechnology,Small Cap
879,INE927D01051,JBM Auto Limited,Auto Components,Small Cap
880,US47215P1066,JD Com Inc,Broadline Retail,Unknown
881,KYG5074A1004,JD Health International Inc,Drug Retail,Unknown
882,KYG8208B1014,JD.com Inc,Broadline Retail,Unknown
883,INE823G01014,JK Cement Limited,Cement & Cement Products,Mid Cap
884,INE786A01032,JK Lakshmi Cement Limited,Cement & Cement Products,Small Cap
885,INE789E01012,JK Paper Ltd.,"Paper, Forest & Jute Products",Small Cap
886,INE573A01042,JK Tyre & Industries Limited,Auto Components,Small Cap
887,INE780C01023,JM Financial Limited,Finance,Small Cap
888,US8326964058,JM Smucker Co/The,Packaged Foods & Meats,Unknown
889,INE0OAF01028,JNK India Limited,Industrial Manufacturing,Small Cap
890,INE121E01018,JSW Energy Limited,Power,Mid Cap
891,INE824G01012,JSW Holdings Limited,Finance,Small Cap
892,INE880J01026,JSW Infrastructure Ltd,Transport Infrastructure,Mid Cap
893,INE019A01038,JSW Steel Limited,Ferrous Metals,Large Cap
894,INE643A01035,JTEKT India Ltd.,Auto Components,Small Cap
895,INE643A20019,JTEKT India Ltd.(Right Share),Auto Components,Unknown
896,INE391J01032,JTL Industries Ltd.,Industrial Products,Small Cap
897,US4663131039,Jabil Inc,Electronic Manufacturing Services,Unknown
898,US4262811015,Jack Henry & Associates Inc,Transaction & Payment Processing Services,Unknown
899,US46982L1089,Jacobs Solutions Inc,Research & Consulting Services,Unknown
900,INE199G01027,Jagran Prakashan Ltd.,Media,Small Cap
901,INE091G01026,Jai Balaji Industries Ltd.,Ferrous Metals,Small Cap
902,INE070D01027,Jai Corp Ltd.,Industrial Products,Small Cap
903,INE175A01038,Jain Irrigation Systems Ltd.,Industrial Products,Small Cap
904,INE351F01018,Jaiprakash Power Ventures Limited,Power,Small Cap
905,INE039C01032,Jamna Auto Industries Ltd.,Auto Components,Small Cap
906,INE953L01027,Jana Small Finance Bank Ltd.,Banks,Small Cap
907,INE854B01010,Jayaswal Neco Industries Limited,Industrial Products,Small Cap
908,TW0003653002,Jentech Precision Industrial Co Ltd,Semiconductors,Unknown
909,INE197D01010,Jindal Poly Films Limited,Industrial Products,Small Cap
910,INE324A01032,Jindal Saw Limited,Industrial Products,Small Cap
911,INE220G01021,Jindal Stainless Limited,Ferrous Metals,Mid Cap
912,INE749A01030,Jindal Steel & Power Limited,Ferrous Metals,Large Cap
913,INE247D01039,Jindal Worldwide Ltd.,Textiles & Apparels,Small Cap
914,INE758E01017,Jio Financial Services Limited,Finance,Large Cap
915,US4781601046,Johnson & Johnson,Pharmaceuticals,Unknown
916,US003CVR0169,Johnson & Johnson,Pharmaceuticals,Unknown
917,IE00BY7QL619,Johnson Controls International PLC,Building Products,Unknown
918,INE782A01015,Johnson Controls-Hitachi Air Conditioning India Ltd.,Consumer Durables,Small Cap
919,US46625H1005,Jpmorgan Chase & Co.,Diversified Banks,Unknown
920,INE797F01020,Jubilant Foodworks Limited,Leisure Services,Mid Cap
921,INE0BY001018,Jubilant Ingrevia Limited,Chemicals & Petrochemicals,Small Cap
922,INE700A01033,Jubilant Pharmova Limited,Pharmaceuticals & Biotechnology,Small Cap
923,INE696F01016,Juniper Hotels Limited,Leisure Services,Small Cap
924,INE682M01012,Jupiter Life Line Hospitals Limited,Healthcare Services,Small Cap
925,INE209L01016,Jupiter Wagons Limited,Industrial Manufacturing,Small Cap
926,INE599M01018,Just Dial Limited,Retailing,Small Cap
927,INE668F01031,Jyothy Labs Limited,Household Products,Small Cap
928,INE980O01024,Jyoti CNC Automation Ltd,Industrial Manufacturing,Small Cap
929,INE577D01013,Jyoti Resins & Adhesives Limited,Miscellaneous,Small Cap
930,INE930H01031,K.P.R. Mill Limited,Textiles & Apparels,Mid Cap
931,INE291D01011,KDDL Limited,Consumer Durables,Small Cap
932,INE389H01022,KEC International Limited,Construction,Small Cap
933,INE878B01027,KEI Industries Limited,Industrial Products,Mid Cap
934,INE138Y01010,KFin Technologies Limited,Capital Markets,Small Cap
935,INE880L01014,KIOCL Ltd,Ferrous Metals,Small Cap
936,US48251W1045,KKR & Co Inc,Asset Management & Custody Banks,Unknown
937,US4824801009,KLA-Tencor corp,Semiconductor Equipment,Unknown
938,INE879K01018,KMC Speciality Hospitals (India) Limited,Healthcare Services,Small Cap
939,INE634I01029,KNR Constructions Limited,Construction,Small Cap
940,INE04I401011,KPIT Technologies Limited,IT - Software,Mid Cap
941,INE001B01026,KRBL Ltd.,Agricultural Food & other Products,Small Cap
942,INE0Q3J01015,KRN Heat Exchanger And Refrigeration Limited,Industrial Products,Small Cap
943,INE999A01023,KSB Ltd.,Industrial Products,Small Cap
944,INE217B01036,Kajaria Ceramics Limited,Consumer Durables,Small Cap
945,INE227J01012,Kalpataru Ltd.,Realty,Unknown
946,INE220B01022,Kalpataru Projects International Limited,Construction,Small Cap
947,INE303R01014,Kalyan Jewellers India Limited,Consumer Durables,Mid Cap
948,INE907A01026,Kalyani Steels Ltd,Industrial Products,Small Cap
949,INE411F01010,Kama Holdings Limited,Finance,Small Cap
950,INE531A01024,Kansai Nerolac Paints Limited,Consumer Durables,Small Cap
951,JP3205800000,Kao Corporation,Personal Care Products,Unknown
952,INE036D01028,Karur Vysya Bank Limited,Banks,Small Cap
953,INE455I01029,Kaveri Seed Company Ltd.,Agricultural Food & other Products,Small Cap
954,INE918Z01012,Kaynes Technology India Limited,Industrial Manufacturing,Mid Cap
955,US4878361082,Kellogg Co,Packaged Foods & Meats,Unknown
956,INE717A01029,Kennametal India Limited,Industrial Manufacturing,Small Cap
957,US49177J1025,Kenvue Inc,Consumer Non Durables,Unknown
958,US49271V1008,Keurig Dr Pepper Inc.,Soft Drinks,Unknown
959,INE401H01017,Kewal Kiran Clothing Ltd.,Textiles & Apparels,Small Cap
960,US4932671088,KeyCorp,Diversified Banks,Unknown
961,JP3236200006,Keyence Corp,Electronic Equipment & Instruments,Unknown
962,US49338L1035,Keysight Technologies Inc,Electronic Equipment & Instruments,Unknown
963,INE263M01029,Keystone Realtors Limited,Realty,Small Cap
964,US4943681035,Kimberly-Clark Corp,Household Products,Unknown
965,US49446R1095,Kimco Realty Corp,Retail REITs,Unknown
966,US49456B1017,Kinder Morgan Inc,Oil & Gas Storage & Transportation,Unknown
967,TW0002449006,King Yuan Electronics Co Ltd,Semiconductors,Unknown
968,KYG525681477,Kingdee International Software Ltd.,Application Software,Unknown
969,INE473D01015,Kingfa Science & Technology (India) Limited,Industrial Products,Small Cap
970,KYG5264Y1089,Kingsoft Corp Ltd.,Interactive Home Entertainment,Unknown
971,INE415I01015,Kiri Industries Limited,Chemicals & Petrochemicals,Small Cap
972,INE732A01036,Kirloskar Brothers Limited,Industrial Products,Small Cap
973,INE884B01025,Kirloskar Ferrous Industries Ltd.,Ferrous Metals,Small Cap
974,INE250A01039,Kirloskar Industries Limited,Industrial Products,Small Cap
975,INE146L01010,Kirloskar Oil Engines Limited,Industrial Products,Small Cap
976,INE811A01020,Kirloskar Pneumatic Ltd.,Industrial Products,Small Cap
977,INE602G01020,Kitex Garments Limited,Textiles & Apparels,Small Cap
978,INE094I01018,Kolte Patil Developers Limited,Realty,Small Cap
979,JP3304200003,Komatsu Ltd,Construction Machinery & Heavy Transportation Equipment,Unknown
980,INE082A01010,Kopran Limited,Pharmaceuticals & Biotechnology,Small Cap
981,INE237A01028,Kotak Mahindra Bank Limited,Banks,Large Cap
982,INE177F01017,Kovai Medical Center and Hospital Limited,Healthcare Services,Small Cap
983,INE542W01025,Kpi Green Energy Ltd.,Power,Small Cap
984,US5007541064,Kraft Heinz Co/The,Packaged Foods & Meats,Unknown
985,INE967H01025,Krishna Institute Of Medical Sciences Limited,Healthcare Services,Small Cap
986,US5010441013,Kroger Co,Food Retail,Unknown
987,INE0O6601022,Kross Limited,Auto Components,Small Cap
988,INE08LI01020,Krsnaa Diagnostics Limited,Healthcare Services,Small Cap
989,KYG532631028,Kuaishou Technology,Interactive Media & Services,Unknown
990,INE498L01015,L&T Finance Limited,Finance,Mid Cap
991,INE010V01017,L&T Technology Services Limited,IT - Services,Mid Cap
992,US5024311095,L3Harris Technologies Inc,Aerospace & Defense,Unknown
993,INE337A01034,LG Balakrishnan & Bros Ltd.,Auto Components,Small Cap
994,INE115A01026,LIC Housing Finance Limited,Finance,Mid Cap
995,US5018892084,LKQ Corp,Distributors,Unknown
996,INE269B01029,LMW Limited,Industrial Manufacturing,Small Cap
997,INE818H01020,LT Foods Limited,Agricultural Food & other Products,Small Cap
998,INE214T01019,LTIMindtree Limited,IT - Software,Large Cap
999,INE059D01020,La Opala RG Limited,Consumer Durables,Small Cap
1000,US5049221055,Labcorp Holdings Inc,Health Care Services,Unknown
1001,US5128073062,Lam Research Corporation,Semiconductor Equipment,Unknown
1002,US5132721045,Lamb Weston Holdings Inc,Packaged Foods & Meats,Unknown
1003,TW0003081006,LandMark Optoelectronics Corporation,Semiconductor Materials & Equipment,Unknown
1004,INE559R01029,Landmark Cars Limited,Automobiles,Small Cap
1005,INE018A01030,Larsen & Toubro Limited,Construction,Large Cap
1006,US5178341070,Las Vegas Sands Corp,Casinos & Gaming,Unknown
1007,INE0I7C01011,Latent View Analytics Limited,IT - Software,Small Cap
1008,INE947Q01028,Laurus Labs Limited,Pharmaceuticals & Biotechnology,Mid Cap
1009,INE0WO601020,Laxmi Dental Limited,Healthcare Equipment & Supplies,Small Cap
1010,INE576O01020,Laxmi Organic Industries Ltd.,Chemicals & Petrochemicals,Small Cap
1011,INE0HV901016,Le Travenues Technology Limited,Leisure Services,Small Cap
1012,US5253271028,Leidos Holdings Inc,Research & Consulting Services,Unknown
1013,INE970X01018,Lemon Tree Hotels Limited,Leisure Services,Small Cap
1014,US5260571048,Lennar Corp,Homebuilding,Unknown
1015,US5261071071,Lennox International Inc,Building Products,Unknown
1016,HK0992009065,Lenovo Group Ltd.,"Technology Hardware, Storage & Peripherals",Unknown
1017,KYG5479M1050,Li Auto Inc,Automobile Manufacturers,Unknown
1018,KYG5496K1242,Li Ning Company Limited,"Apparel, Accessories and Luxury Goods",Unknown
1019,US5312297717,Liberty Media Formula One Ser A,Movies & Entertainment,Unknown
1020,US5312297550,Liberty Media Formula One Ser C,Movies & Entertainment,Unknown
1021,US5312297485,Liberty Media Live Ser A,Movies & Entertainment,Unknown
1022,US5312297220,Liberty Media Live Ser C,Movies & Entertainment,Unknown
1023,INE0J1Y01017,Life Insurance Corporation Of India,Insurance,Large Cap
1024,INE405C01035,Lincoln Pharmaceuticals Limited,Pharmaceuticals & Biotechnology,Small Cap
1025,INE473A01011,Linde India Limited,Chemicals & Petrochemicals,Mid Cap
1026,IE000S9YS762,Linde Plc,Diversified Chemicals,Unknown
1027,HK0823032773,Link REIT NPV,Retail REITs,Unknown
1028,US5380341090,Live Nation Entertainment Inc,Movies & Entertainment,Unknown
1029,INE093R01011,Lloyds Engineering Works Ltd.,Industrial Manufacturing,Small Cap
1030,INE080I01025,Lloyds Enterprises Ltd.,Metals & Minerals Trading,Small Cap
1031,INE281B01032,Lloyds Metals And Energy Limited,Minerals & Mining,Mid Cap
1032,US5398301094,Lockheed Martin Corp,Aerospace & Defense,Unknown
1033,INE670K01029,Lodha Developers Limited,Realty,Large Cap
1034,US5404241086,Loews Corp,Property & Casualty Insurance,Unknown
1035,KYG5635P1090,Longfor Group Holdings Ltd,Real Estate Development,Unknown
1036,US54338V1017,Lonza Group,Pharmaceuticals & Biotechnology,Unknown
1037,US5486611073,Lowes Cos Inc,Home Improvement Retail,Unknown
1038,US5500211090,Lululemon Athletica Inc,"Apparel, Accessories & Luxury Goods",Unknown
1039,INE872H01027,Lumax Auto Technologies Limited,Auto Components,Small Cap
1040,INE162B01018,Lumax Industries Ltd,Auto Components,Small Cap
1041,INE326A01037,Lupin Limited,Pharmaceuticals & Biotechnology,Large Cap
1042,INE150G01020,Lux Industries Ltd.,Textiles & Apparels,Small Cap
1043,NL0009434992,Lyondellbasell Industries N.V.,Commodity Chemicals,Unknown
1044,INE08N601015,M&B Engineering Limited **,Industrial Products,Unknown
1045,US55261F1049,M&T Bank Corp,Regional Banks,Unknown
